Method,ATSD,MySQL,PostgreSQL,Oracle,DB2,MSSQL
allProceduresAreCallable,false,false,true,false,false,true
allTablesAreSelectable,true,false,true,false,false,true
autoCommitFailureClosesAllResultSets,false,false,false,false,false,false
dataDefinitionCausesTransactionCommit,false,true,false,true,false,false
dataDefinitionIgnoredInTransactions,false,false,false,false,false,false
doesMaxRowSizeIncludeBlobs,false,true,false,true,false,false
generatedKeyAlwaysReturned,false,true,true,false,true,true
getCatalogSeparator,0,0,0,,0,0
getCatalogTerm,database,database,database,,database,database
getDatabaseMajorVersion,16764,5,9,11,10,14
getDatabaseMinorVersion,0,7,6,2,5,0
getDatabaseProductName,Axibase,MySQL,PostgreSQL,Oracle,DB2/LINUXX8664,Microsoft SQL Server
getDatabaseProductVersion,"Axibase Time Series Database, Community Edition, Revision: 16764",5.7.18,9.6.2,Oracle Database 11g Express Edition Release 11.2.0.2.0 - 64bit Production,SQL10055,14.00.600
getDefaultTransactionIsolation,2,2,2,2,2,2
getDriverMajorVersion,1,5,42,12,4,6
getDriverMinorVersion,3,1,0,1,23,2
getDriverName,ATSD JDBC driver,MySQL Connector Java,PostgreSQL JDBC Driver,Oracle JDBC driver,IBM Data Server Driver for JDBC and SQLJ,Microsoft JDBC Driver 6.2 for SQL Server
getDriverVersion,1.3.2-SNAPSHOT-2017-07-13T15:23:14Z,mysql-connector-java-5.1.42 ( Revision: 1f61b0b0270d9844b006572ba4e77f19c0f230d4 ),42.0.0.jre7,12.1.0.2.0,4.23.42,6.2.0.0
getExtraNameCharacters,,#@,,$#,@#,$#@
getIdentifierQuoteString,"""",`,"""","""","""",""""
getJDBCMajorVersion,4,4,4,4,4,4
getJDBCMinorVersion,1,0,1,1,1,1
getMaxBinaryLiteralLength,0,16777208,0,1000,4000,0
getMaxCatalogNameLength,128,32,63,0,8,128
getMaxCharLiteralLength,131072,16777208,0,2000,32672,0
getMaxColumnNameLength,128,64,63,30,128,128
getMaxColumnsInGroupBy,128,64,0,0,1012,0
getMaxColumnsInIndex,0,16,32,32,16,16
getMaxColumnsInOrderBy,128,64,0,0,1012,0
getMaxColumnsInSelect,256,256,0,0,1012,4096
getMaxColumnsInTable,1024,512,1600,1000,1012,1024
getMaxConnections,0,0,8192,0,0,0
getMaxCursorNameLength,0,64,63,0,128,0
getMaxIndexLength,0,256,0,0,1024,900
getMaxProcedureNameLength,0,0,63,30,128,128
getMaxRowSize,0,2147483639,1073741824,0,32677,8060
getMaxSchemaNameLength,128,0,63,30,128,128
getMaxStatementLength,65536,65531,0,65535,2097152,524288000
getMaxStatements,0,0,0,0,0,0
getMaxTableNameLength,128,64,63,30,128,128
getMaxTablesInSelect,128,256,0,0,0,256
getMaxUserNameLength,128,16,63,30,30,128
getNumericFunctions,"CORREL,SQRT","ABS,ACOS,ASIN,ATAN,ATAN2,BIT_COUNT,CEILING,COS,COT,DEGREES,EXP,FLOOR,LOG,LOG10,MAX,MIN,MOD,PI,POW,POWER,RADIANS,RAND,ROUND,SIN,SQRT,TAN,TRUNCATE","abs,acos,asin,atan,atan2,ceiling,cos,cot,degrees,exp,floor,log,log10,mod,pi,power,radians,round,sign,sin,sqrt,tan,truncate","ABS,ACOS,ASIN,ATAN,ATAN2,CEILING,COS,EXP,FLOOR,LOG,LOG10,MOD,PI,POWER,ROUND,SIGN,SIN,SQRT,TAN,TRUNCATE","ABS,ACOS,ASIN,ATAN,ATAN2,CEILING,COS,COT,DEGREES,EXP,FLOOR,LOG,LOG10,MOD,POWER,RADIANS,RAND,ROUND,SIGN,SIN,SQRT,TAN,TRUNCATE","ABS,ACOS,ASIN,ATAN,ATAN2,CEILING,COS,COT,DEGREES,EXP, FLOOR,LOG,LOG10,MOD,PI,POWER,RADIANS,RAND,ROUND,SIGN,SIN,SQRT,TAN,TRUNCATE"
getProcedureTerm,procedure,PROCEDURE,function,procedure,stored procedure,stored procedure
getResultSetHoldability,1,1,1,1,1,1
